,Brand,Model,Price,Color,RAM (GB),ROM (GB),Rating,Battery (mAh),Display (inch),Camera,Processor
236,realme,C35,11699,Glowing Black,6,128.0,4.2,5000.0,6.6,50MP + 2MP + 0.3MP | 8MP Front,Unisoc Tiger T616
237,realme,C35,9699,Glowing Black,4,64.0,4.4,5000.0,6.6,50MP + 2MP + 0.3MP | 8MP Front,Unisoc Tiger T616
238,realme,C35,10699,Glowing Green,4,128.0,4.4,5000.0,6.6,50MP + 2MP + 0.3MP | 8MP Front,Unisoc Tiger T616
239,realme,C35,10699,Glowing Black,4,128.0,4.4,5000.0,6.6,50MP + 2MP + 0.3MP | 8MP Front,Unisoc Tiger T616
240,realme,C35,10699,Glowing Green,4,128.0,4.4,5000.0,6.6,50MP + 2MP + 0.3MP | 8MP Front,Unisoc Tiger T616
241,realme,C35,10699,Glowing Black,4,128.0,4.4,5000.0,6.6,50MP + 2MP + 0.3MP | 8MP Front,Unisoc Tiger T616
242,realme,C35,9699,Glowing Black,4,64.0,4.4,5000.0,6.6,50MP + 2MP + 0.3MP | 8MP Front,Unisoc Tiger T616
243,realme,C35,9699,Glowing Green,4,64.0,4.4,5000.0,6.6,50MP + 2MP + 0.3MP | 8MP Front,Unisoc Tiger T616
244,realme,7,20999,Mist White,8,128.0,4.3,5000.0,6.5,64MP + 8MP + 2MP + 2MP | 16MP Front,MediaTek Helio G95
245,realme,GT,26999,Neo 3 Sprint White,8,128.0,4.1,5000.0,6.7,50MP + 8MP + 2MP | 16MP Front,Mediatek Dimensity 8100
246,realme,Narzo,13499,50A Prime Flash Black,4,64.0,4.1,5000.0,6.6,50MP Rear,
247,realme,GT,28999,Neo 3 Nitro Blue,8,256.0,4.1,5000.0,6.7,50MP + 8MP + 2MP | 16MP Front,Mediatek Dimensity 8100
248,realme,C21,10290,Cross Blue,4,64.0,4.4,5000.0,6.5,13MP + 2MP + 2MP | 5MP Front,MediaTek Helio G35
249,realme,C11,7999,2021 Cool Grey,4,64.0,4.3,5000.0,6.5,8MP Rear,Octa-core
250,realme,narzo,17199,50 5G Hyper Blue,6,128.0,4.3,5000.0,6.6,48MP Rear,
251,realme,narzo,16455,50 5G Hyper Black,4,128.0,4.3,5000.0,6.6,48MP Rear,
252,realme,narzo,14999,50 5G Hyper Black,4,64.0,4.3,5000.0,6.6,48MP Rear,
253,realme,8,15499,Cyber Black,8,128.0,4.4,5000.0,6.4,64MP + 8MP + 2MP + 2MP | 16MP Front,MediaTek Helio G95
254,realme,8,13499,Cyber Silver,4,128.0,4.4,5000.0,6.4,64MP + 8MP + 2MP + 2MP | 16MP Front,MediaTek Helio G95
255,realme,8,13499,Cyber Black,4,128.0,4.4,5000.0,6.4,64MP + 8MP + 2MP + 2MP | 16MP Front,MediaTek Helio G95
256,realme,GT,26999,Neo 3 Asphalt Black,8,128.0,4.1,5000.0,6.7,50MP + 8MP + 2MP | 16MP Front,Mediatek Dimensity 8100
257,realme,Narzo,9999,30A Laser Black,4,64.0,4.4,6000.0,1,13MP + 2MP | 8MP Front,MediaTek Helio G85
258,realme,9,22999,Pro+ 5G Aurora Green,8,256.0,4.4,4500.0,6.4,50MP + 8MP + 2MP | 16MP Front,Mediatek Dimensity 920
259,realme,9,22999,Pro+ 5G Sunrise Blue,8,256.0,4.4,4500.0,6.4,50MP + 8MP + 2MP | 16MP Front,Mediatek Dimensity 920
260,realme,Narzo,9999,30A Laser Blue,4,64.0,4.4,6000.0,1,13MP + 2MP | 8MP Front,MediaTek Helio G85
261,realme,9,20999,Pro+ 5G Sunrise Blue,8,128.0,4.4,4500.0,6.4,50MP + 8MP + 2MP | 16MP Front,Mediatek Dimensity 920
262,realme,Narzo,8999,30A Laser Blue,3,32.0,4.3,6000.0,1,13MP + 2MP | 8MP Front,MediaTek Helio G85
263,realme,9,18999,Pro+ 5G Sunrise Blue,6,128.0,4.4,4500.0,6.4,50MP + 8MP + 2MP | 16MP Front,Mediatek Dimensity 920
264,realme,5s,12999,Crystal Red,4,128.0,4.5,5000.0,6.5,48MP + 8MP + 2MP + 2MP | 13MP Front,Qualcomm Snapdragon 665
265,realme,5s,10999,Crystal Blue,4,64.0,4.5,5000.0,6.5,48MP + 8MP + 2MP + 2MP | 13MP Front,Qualcomm Snapdragon 665
266,realme,8,14499,Cyber Silver,6,128.0,4.4,5000.0,6.4,64MP + 8MP + 2MP + 2MP | 16MP Front,MediaTek Helio G95
267,realme,GT,26999,Neo 3 Asphalt Black,8,128.0,4.1,5000.0,6.7,50MP + 8MP + 2MP | 16MP Front,Mediatek Dimensity 8100
268,realme,C35,10699,Glowing Green,4,128.0,4.4,5000.0,6.6,50MP + 2MP + 0.3MP | 8MP Front,Unisoc Tiger T616
